Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-09-05,110.0,111.63,109.51,111.46,5348782.0,0.0,1.0,110.0,111.63,109.51,111.46,5348782.0
2019-09-06,111.66,111.67,109.62,110.05,4485947.0,0.0,1.0,111.66,111.67,109.62,110.05,4485947.0
2019-09-09,110.62,110.77,103.9,105.43,10958990.0,0.0,1.0,110.62,110.77,103.9,105.43,10958990.0
2019-09-10,104.77,104.95,101.31,103.05,13428039.0,0.0,1.0,104.77,104.95,101.31,103.05,13428039.0
2019-09-11,104.15,104.48,103.11,104.02,7006282.0,0.0,1.0,104.15,104.48,103.11,104.02,7006282.0
2019-09-12,105.71,107.915,105.49,107.1,11585351.0,0.0,1.0,105.71,107.915,105.49,107.1,11585351.0
2019-09-13,106.66,107.29,105.25,107.0,8390194.0,0.0,1.0,106.66,107.29,105.25,107.0,8390194.0
2019-09-16,106.13,108.01,105.99,106.52,5215635.0,0.0,1.0,106.13,108.01,105.99,106.52,5215635.0
2019-09-17,106.81,107.8945,106.46,107.5,4115933.0,0.0,1.0,106.81,107.8945,106.46,107.5,4115933.0
2019-09-18,107.78,107.8,103.73,105.6,6685977.0,0.0,1.0,107.78,107.8,103.73,105.6,6685977.0
2019-09-19,105.64,107.02,105.6,106.12,5247013.0,0.0,1.0,105.64,107.02,105.6,106.12,5247013.0
2019-09-20,104.71,105.46,103.91,104.64,10707881.0,0.0,1.0,104.71,105.46,103.91,104.64,10707881.0
2019-09-23,104.73,105.32,104.35,105.11,3396306.0,0.0,1.0,104.73,105.32,104.35,105.11,3396306.0
2019-09-24,105.41,106.1,102.73,103.69,6444130.0,0.0,1.0,105.41,106.1,102.73,103.69,6444130.0
2019-09-25,103.34,104.4626,101.54,104.14,5523936.0,0.0,1.0,103.34,104.4626,101.54,104.14,5523936.0
2019-09-26,104.43,104.87,103.22,104.55,4780793.0,0.0,1.0,104.43,104.87,103.22,104.55,4780793.0
2019-09-27,104.87,105.17,101.1,102.2,7189838.0,0.0,1.0,104.87,105.17,101.1,102.2,7189838.0
2019-09-30,102.68,104.07,101.48,103.59,7512787.0,0.0,1.0,102.68,104.07,101.48,103.59,7512787.0
2019-10-01,104.0,104.6409,102.23,102.53,5746364.0,0.0,1.0,104.0,104.6409,102.23,102.53,5746364.0
2019-10-02,101.81,101.83,99.3601,99.73,8011727.0,0.0,1.0,101.81,101.83,99.3601,99.73,8011727.0
2019-10-03,99.54,101.31,98.61,101.03,5343141.0,0.0,1.0,99.54,101.31,98.61,101.03,5343141.0
2019-10-04,101.84,102.98,100.84,102.79,5534673.0,0.0,1.0,101.84,102.98,100.84,102.79,5534673.0
2019-10-07,102.11,102.607,101.52,101.62,3829056.0,0.0,1.0,102.11,102.607,101.52,101.62,3829056.0
2019-10-08,100.85,101.15,99.25,99.33,7398352.0,0.0,1.0,100.85,101.15,99.25,99.33,7398352.0
2019-10-09,99.44,100.69,99.385,99.89,5038850.0,0.0,1.0,99.44,100.69,99.385,99.89,5038850.0
2019-10-10,99.4,101.0,99.4,100.54,4561588.0,0.0,1.0,99.4,101.0,99.4,100.54,4561588.0
2019-10-11,101.78,103.96,101.47,101.58,4788311.0,0.0,1.0,101.78,103.96,101.47,101.58,4788311.0
2019-10-14,101.59,102.35,101.3674,101.75,3817790.0,0.0,1.0,101.59,102.35,101.3674,101.75,3817790.0
2019-10-15,102.01,103.66,101.9,103.59,4629287.0,0.0,1.0,102.01,103.66,101.9,103.59,4629287.0
2019-10-16,103.0,103.23,101.9,103.09,4363705.0,0.0,1.0,103.0,103.23,101.9,103.09,4363705.0
2019-10-17,103.89,104.34,102.84,103.63,4019239.0,0.0,1.0,103.89,104.34,102.84,103.63,4019239.0
2019-10-18,103.92,104.32,100.75,101.22,6978120.0,0.0,1.0,103.92,104.32,100.75,101.22,6978120.0
2019-10-21,102.36,102.73,100.465,101.44,6694445.0,0.0,1.0,102.36,102.73,100.465,101.44,6694445.0
2019-10-22,101.36,101.95,97.115,97.36,11384723.0,0.0,1.0,101.36,101.95,97.115,97.36,11384723.0
2019-10-23,97.42,97.6,94.77,96.64,17459600.0,0.0,1.0,97.42,97.6,94.77,96.64,17459600.0
2019-10-24,106.075,106.98,103.19,104.91,23817914.0,0.0,1.0,106.075,106.98,103.19,104.91,23817914.0
2019-10-25,104.46,107.49,104.42,107.19,12070921.0,0.0,1.0,104.46,107.49,104.42,107.19,12070921.0
2019-10-28,107.99,108.46,106.45,106.6,7004191.0,0.0,1.0,107.99,108.46,106.45,106.6,7004191.0
2019-10-29,106.84,107.02,104.695,105.0,5420866.0,0.0,1.0,106.84,107.02,104.695,105.0,5420866.0
2019-10-30,105.29,106.6,103.96,106.5,4204919.0,0.0,1.0,105.29,106.6,103.96,106.5,4204919.0
2019-10-31,106.47,106.5,103.26,104.1,7200513.0,0.0,1.0,106.47,106.5,103.26,104.1,7200513.0
2019-11-01,104.7,105.3,103.93,104.98,5489839.0,0.0,1.0,104.7,105.3,103.93,104.98,5489839.0
2019-11-04,105.72,105.76,102.605,102.81,5818361.0,0.0,1.0,105.72,105.76,102.605,102.81,5818361.0
2019-11-05,103.05,103.25,100.285,100.99,9236156.0,0.0,1.0,103.05,103.25,100.285,100.99,9236156.0
2019-11-06,101.2,101.34,100.17,100.63,7332216.0,0.0,1.0,101.2,101.34,100.17,100.63,7332216.0
2019-11-07,100.94,101.72,100.29,100.47,9088435.0,0.0,1.0,100.94,101.72,100.29,100.47,9088435.0
2019-11-08,100.025,101.71,99.6,101.42,5451433.0,0.0,1.0,100.025,101.71,99.6,101.42,5451433.0
2019-11-11,101.04,103.04,100.66,102.67,5391050.0,0.0,1.0,101.04,103.04,100.66,102.67,5391050.0
2019-11-12,102.97,103.09,100.92,102.03,6715166.0,0.0,1.0,102.97,103.09,100.92,102.03,6715166.0
2019-11-13,102.0,103.6,101.63,102.12,5329359.0,0.0,1.0,102.0,103.6,101.63,102.12,5329359.0
2019-11-14,101.87,103.85,101.37,103.73,4980344.0,0.0,1.0,101.87,103.85,101.37,103.73,4980344.0
2019-11-15,104.35,104.48,103.105,104.2,5640361.0,0.0,1.0,104.35,104.48,103.105,104.2,5640361.0
2019-11-18,103.85,104.2,102.98,103.66,4831599.0,0.0,1.0,103.85,104.2,102.98,103.66,4831599.0
2019-11-19,104.08,106.17,104.0076,104.95,7960162.0,0.0,1.0,104.08,106.17,104.0076,104.95,7960162.0
2019-11-20,105.22,105.38,103.12,104.09,5962021.0,0.0,1.0,105.22,105.38,103.12,104.09,5962021.0
2019-11-21,103.0,104.47,102.15,102.55,7525120.0,0.0,1.0,103.0,104.47,102.15,102.55,7525120.0
2019-11-22,102.92,103.23,100.72,101.77,6448811.0,0.0,1.0,102.92,103.23,100.72,101.77,6448811.0
2019-11-25,102.38,104.57,102.06,104.45,8338769.0,0.0,1.0,102.38,104.57,102.06,104.45,8338769.0
2019-11-26,104.8,106.78,104.5,106.2,13150051.0,0.0,1.0,104.8,106.78,104.5,106.2,13150051.0
2019-11-27,106.89,108.24,106.8,107.75,7555124.0,0.0,1.0,106.89,108.24,106.8,107.75,7555124.0
2019-11-29,107.97,108.39,106.9,108.01,4439511.0,0.0,1.0,107.97,108.39,106.9,108.01,4439511.0
2019-12-02,107.96,108.49,104.65,106.21,7185204.0,0.0,1.0,107.96,108.49,104.65,106.21,7185204.0
2019-12-03,105.0,106.13,104.51,105.59,9062795.0,0.0,1.0,105.0,106.13,104.51,105.59,9062795.0
2019-12-04,106.29,106.29,104.655,105.0,7849569.0,0.0,1.0,106.29,106.29,104.655,105.0,7849569.0
2019-12-05,105.45,105.5,104.11,104.59,5637586.0,0.0,1.0,105.45,105.5,104.11,104.59,5637586.0
2019-12-06,104.79,105.3435,104.16,104.34,7018440.0,0.0,1.0,104.79,105.3435,104.16,104.34,7018440.0
2019-12-09,104.6,105.1,103.6,103.78,5549579.0,0.0,1.0,104.6,105.1,103.6,103.78,5549579.0
2019-12-10,103.77,104.13,103.26,103.62,5316693.0,0.0,1.0,103.77,104.13,103.26,103.62,5316693.0
2019-12-11,103.72,105.87,103.5902,105.51,5782111.0,0.0,1.0,103.72,105.87,103.5902,105.51,5782111.0
2019-12-12,105.21,106.2199,104.13,105.67,6380433.0,0.0,1.0,105.21,106.2199,104.13,105.67,6380433.0
2019-12-13,105.83,107.905,105.52,107.65,7001186.0,0.0,1.0,105.83,107.905,105.52,107.65,7001186.0
2019-12-16,108.4,109.828,108.35,109.57,8466723.0,0.0,1.0,108.4,109.828,108.35,109.57,8466723.0
2019-12-17,109.57,109.6,107.67,108.46,8168386.0,0.0,1.0,109.57,109.6,107.67,108.46,8168386.0
2019-12-18,108.86,109.47,107.76,107.83,6478284.0,0.0,1.0,108.86,109.47,107.76,107.83,6478284.0
2019-12-19,107.8,108.94,107.46,108.88,6590055.0,0.0,1.0,107.8,108.94,107.46,108.88,6590055.0
2019-12-20,109.28,109.62,108.13,108.75,9831071.0,0.0,1.0,109.28,109.62,108.13,108.75,9831071.0
2019-12-23,109.05,109.45,108.38,108.61,4659074.0,0.0,1.0,109.05,109.45,108.38,108.61,4659074.0
2019-12-24,108.64,109.26,108.38,108.69,1679950.0,0.0,1.0,108.64,109.26,108.38,108.69,1679950.0
2019-12-26,109.13,109.75,108.57,109.75,4050317.0,0.0,1.0,109.13,109.75,108.57,109.75,4050317.0
2019-12-27,110.1665,110.18,108.9,109.4,3390317.0,0.0,1.0,110.1665,110.18,108.9,109.4,3390317.0
2019-12-30,109.52,109.6,107.73,107.97,3769715.0,0.0,1.0,109.52,109.6,107.73,107.97,3769715.0
2019-12-31,107.54,108.45,107.2,108.17,4080618.0,0.0,1.0,107.54,108.45,107.2,108.17,4080618.0
2020-01-02,109.47,111.21,109.275,110.75,7419283.0,0.0,1.0,109.47,111.21,109.275,110.75,7419283.0
2020-01-03,109.49,110.42,108.76,108.76,7099931.0,0.0,1.0,109.49,110.42,108.76,108.76,7099931.0
2020-01-06,107.57,110.22,107.44,110.17,5561116.0,0.0,1.0,107.57,110.22,107.44,110.17,5561116.0
2020-01-07,111.5,111.56,109.53,109.67,6916836.0,0.0,1.0,111.5,111.56,109.53,109.67,6916836.0
2020-01-08,110.4,112.64,109.82,111.82,8295189.0,0.0,1.0,110.4,112.64,109.82,111.82,8295189.0
2020-01-09,112.99,113.56,111.59,112.57,5772652.0,0.0,1.0,112.99,113.56,111.59,112.57,5772652.0
2020-01-10,113.64,113.71,112.27,112.93,6965689.0,0.0,1.0,113.64,113.71,112.27,112.93,6965689.0
2020-01-13,113.98,115.88,113.86,115.28,9069390.0,0.0,1.0,113.98,115.88,113.86,115.28,9069390.0
2020-01-14,115.515,115.59,114.12,114.64,7182707.0,0.0,1.0,115.515,115.59,114.12,114.64,7182707.0
2020-01-15,115.14,115.95,114.61,114.85,5955223.0,0.0,1.0,115.14,115.95,114.61,114.85,5955223.0
2020-01-16,115.92,116.0,114.85,115.4,4793197.0,0.0,1.0,115.92,116.0,114.85,115.4,4793197.0
2020-01-17,116.45,116.7,115.47,116.04,9730424.0,0.0,1.0,116.45,116.7,115.47,116.04,9730424.0
2020-01-21,115.31,116.39,115.11,116.15,8509645.0,0.0,1.0,115.31,116.39,115.11,116.15,8509645.0
2020-01-22,116.73,117.45,115.47,115.5,5305308.0,0.0,1.0,116.73,117.45,115.47,115.5,5305308.0
2020-01-23,117.4,117.9398,115.8,117.89,8533941.0,0.0,1.0,117.4,117.9398,115.8,117.89,8533941.0
2020-01-24,118.45,119.6,116.51,116.98,7123969.0,0.0,1.0,118.45,119.6,116.51,116.98,7123969.0
2020-01-27,113.63,115.98,112.31,115.24,7002260.0,0.0,1.0,113.63,115.98,112.31,115.24,7002260.0
2020-01-28,115.83,117.21,114.7154,116.52,6193396.0,0.0,1.0,115.83,117.21,114.7154,116.52,6193396.0
2020-01-29,117.47,117.53,115.16,116.66,9255661.0,0.0,1.0,117.47,117.53,115.16,116.66,9255661.0
2020-01-30,112.79,117.2,112.42,117.12,13653347.0,0.0,1.0,112.79,117.2,112.42,117.12,13653347.0
2020-01-31,116.75,117.32,113.15,113.89,9467156.0,0.0,1.0,116.75,117.32,113.15,113.89,9467156.0
2020-02-03,114.3,117.24,114.05,116.51,8236584.0,0.0,1.0,114.3,117.24,114.05,116.51,8236584.0
2020-02-04,118.04,120.34,117.3,120.08,7308692.0,0.0,1.0,118.04,120.34,117.3,120.08,7308692.0
2020-02-05,121.2,122.19,118.891,119.72,7595345.0,0.0,1.0,121.2,122.19,118.891,119.72,7595345.0
2020-02-06,120.09,120.6,119.47,119.89,3994629.0,0.0,1.0,120.09,120.6,119.47,119.89,3994629.0
2020-02-07,119.6,119.67,118.41,118.88,3870696.0,0.0,1.0,119.6,119.67,118.41,118.88,3870696.0
2020-02-10,118.56,120.15,118.5,120.06,4868408.0,0.0,1.0,118.56,120.15,118.5,120.06,4868408.0
2020-02-11,120.76,121.0,118.4,118.84,4677447.0,0.0,1.0,120.76,121.0,118.4,118.84,4677447.0
2020-02-12,118.85,119.91,117.87,118.56,6482283.0,0.0,1.0,118.85,119.91,117.87,118.56,6482283.0
2020-02-13,118.04,121.1,117.8,120.51,6066472.0,0.0,1.0,118.04,121.1,117.8,120.51,6066472.0
2020-02-14,120.89,123.0,120.8,122.99,5769897.0,0.0,1.0,120.89,123.0,120.8,122.99,5769897.0
2020-02-18,122.58,122.99,121.68,122.27,5085799.0,0.0,1.0,122.58,122.99,121.68,122.27,5085799.0
2020-02-19,122.63,124.45,122.3,123.91,4878649.0,0.0,1.0,122.63,124.45,122.3,123.91,4878649.0
2020-02-20,123.86,124.31,120.4,122.43,7212911.0,0.0,1.0,123.86,124.31,120.4,122.43,7212911.0
2020-02-21,121.72,121.85,118.53,119.49,5896230.0,0.0,1.0,121.72,121.85,118.53,119.49,5896230.0
2020-02-24,114.29,116.79,113.52,116.44,10139308.0,0.0,1.0,114.29,116.79,113.52,116.44,10139308.0
2020-02-25,115.67,116.415,109.33,109.66,13636134.0,0.0,1.0,115.67,116.415,109.33,109.66,13636134.0
2020-02-26,109.81,112.63,108.6,109.11,10306927.0,0.0,1.0,109.81,112.63,108.6,109.11,10306927.0
2020-02-27,106.3,112.05,106.3,107.84,15461904.0,0.0,1.0,106.3,112.05,106.3,107.84,15461904.0
2020-02-28,104.26,108.73,103.72,107.99,17215994.0,0.0,1.0,104.26,108.73,103.72,107.99,17215994.0
2020-03-02,107.46,113.05,106.53,112.86,13366965.0,0.0,1.0,107.46,113.05,106.53,112.86,13366965.0
2020-03-03,112.82,114.56,108.26,109.76,11912275.0,0.0,1.0,112.82,114.56,108.26,109.76,11912275.0
2020-03-04,112.04,115.39,110.62,115.3,8245198.0,0.0,1.0,112.04,115.39,110.62,115.3,8245198.0
2020-03-05,112.03,114.9,111.24,112.18,7671457.0,0.0,1.0,112.03,114.9,111.24,112.18,7671457.0
2020-03-06,107.95,111.57,107.58,110.89,8524269.0,0.0,1.0,107.95,111.57,107.58,110.89,8524269.0
2020-03-09,102.72,106.99,99.71,101.63,12375409.0,0.0,1.0,102.72,106.99,99.71,101.63,12375409.0
2020-03-10,105.3,109.74,103.17,109.74,11748492.0,0.0,1.0,105.3,109.74,103.17,109.74,11748492.0
2020-03-11,106.65,107.75,101.98,103.9,10481984.0,0.0,1.0,106.65,107.75,101.98,103.9,10481984.0
2020-03-12,96.56,104.78,94.5,96.96,20114391.0,0.0,1.0,96.56,104.78,94.5,96.96,20114391.0
2020-03-13,100.52,110.6,99.78,110.15,19170559.0,0.0,1.0,100.52,110.6,99.78,110.15,19170559.0
2020-03-16,94.0,103.155,91.23,92.72,15991828.0,0.0,1.0,94.0,103.155,91.23,92.72,15991828.0
2020-03-17,94.5,101.08,90.52,97.87,17715948.0,0.0,1.0,94.5,101.08,90.52,97.87,17715948.0
2020-03-18,91.855,95.1,86.15,91.46,16060056.0,0.0,1.0,91.855,95.1,86.15,91.46,16060056.0
2020-03-19,91.56,98.06,87.04,93.69,12181578.0,0.0,1.0,91.56,98.06,87.04,93.69,12181578.0
2020-03-20,95.64,96.23,86.21,86.68,14874413.0,0.0,1.0,95.64,96.23,86.21,86.68,14874413.0
2020-03-23,86.29,88.15,82.07,85.26,12969720.0,0.0,1.0,86.29,88.15,82.07,85.26,12969720.0
2020-03-24,89.4,98.0,89.4,97.29,13936472.0,0.0,1.0,89.4,98.0,89.4,97.29,13936472.0
2020-03-25,97.43,100.42,95.27,95.71,11775665.0,0.0,1.0,97.43,100.42,95.27,95.71,11775665.0
2020-03-26,96.31,100.93,95.635,100.63,9452863.0,0.0,1.0,96.31,100.93,95.635,100.63,9452863.0
2020-03-27,97.0,97.105,93.06,93.48,11311959.0,0.0,1.0,97.0,97.105,93.06,93.48,11311959.0
2020-03-30,95.5,98.2599,94.37,97.03,8948597.0,0.0,1.0,95.5,98.2599,94.37,97.03,8948597.0
2020-03-31,96.38,99.4314,94.87,95.74,9742685.0,0.0,1.0,96.38,99.4314,94.87,95.74,9742685.0
2020-04-01,92.72,94.67,90.38,91.38,9581230.0,0.0,1.0,92.72,94.67,90.38,91.38,9581230.0
2020-04-02,91.1,94.6799,90.92,93.52,6991437.0,0.0,1.0,91.1,94.6799,90.92,93.52,6991437.0
2020-04-03,92.79,92.95,89.88,92.39,7699462.0,0.0,1.0,92.79,92.95,89.88,92.39,7699462.0
2020-04-06,97.8,102.5,96.26,101.67,11868937.0,0.0,1.0,97.8,102.5,96.26,101.67,11868937.0
2020-04-07,105.255,106.23,99.9,100.28,10255412.0,0.0,1.0,105.255,106.23,99.9,100.28,10255412.0
2020-04-08,101.61,105.505,100.75,105.06,9354205.0,0.0,1.0,101.61,105.505,100.75,105.06,9354205.0
2020-04-09,105.63,108.7,104.78,105.84,10797044.0,0.0,1.0,105.63,108.7,104.78,105.84,10797044.0
2020-04-13,104.85,106.29,102.34,105.98,7716160.0,0.0,1.0,104.85,106.29,102.34,105.98,7716160.0
2020-04-14,109.0,110.98,107.93,109.785,8417858.0,0.0,1.0,109.0,110.98,107.93,109.785,8417858.0
2020-04-15,107.46,109.09,106.42,107.95,7821377.0,0.0,1.0,107.46,109.09,106.42,107.95,7821377.0
2020-04-16,109.5,109.525,106.57,108.31,9575624.0,0.0,1.0,109.5,109.525,106.57,108.31,9575624.0
2020-04-17,110.3,112.12,110.054,111.85,11069777.0,0.0,1.0,110.3,112.12,110.054,111.85,11069777.0
2020-04-20,110.9,114.3,110.025,112.17,10709221.0,0.0,1.0,110.9,114.3,110.025,112.17,10709221.0
2020-04-21,111.12,112.85,107.41,107.54,11736608.0,0.0,1.0,111.12,112.85,107.41,107.54,11736608.0
2020-04-22,110.29,116.0,109.91,115.19,12698102.0,0.0,1.0,110.29,116.0,109.91,115.19,12698102.0
2020-04-23,115.94,118.385,115.0,115.24,7473794.0,0.0,1.0,115.94,118.385,115.0,115.24,7473794.0
2020-04-24,115.47,120.47,115.4,120.18,10680406.0,0.0,1.0,115.47,120.47,115.4,120.18,10680406.0
2020-04-27,121.25,122.387,120.055,120.53,6659443.0,0.0,1.0,121.25,122.387,120.055,120.53,6659443.0
2020-04-28,121.66,122.0,115.9029,116.14,9135688.0,0.0,1.0,121.66,122.0,115.9029,116.14,9135688.0
2020-04-29,119.3,124.03,118.645,123.58,9891526.0,0.0,1.0,119.3,124.03,118.645,123.58,9891526.0
2020-04-30,121.35,123.45,120.62,123.0,7569776.0,0.0,1.0,121.35,123.45,120.62,123.0,7569776.0
2020-05-01,119.85,122.7,119.43,120.61,5613832.0,0.0,1.0,119.85,122.7,119.43,120.61,5613832.0
2020-05-04,121.26,124.18,120.31,123.66,7674351.0,0.0,1.0,121.26,124.18,120.31,123.66,7674351.0
2020-05-05,124.94,127.94,124.85,125.43,9241882.0,0.0,1.0,124.94,127.94,124.85,125.43,9241882.0
2020-05-06,127.05,129.59,126.12,128.31,14031243.0,0.0,1.0,127.05,129.59,126.12,128.31,14031243.0
2020-05-07,139.92,147.2,139.28,146.29,35487924.0,0.0,1.0,139.92,147.2,139.28,146.29,35487924.0
2020-05-08,143.25,146.4,142.11,144.96,13169422.0,0.0,1.0,143.25,146.4,142.11,144.96,13169422.0
2020-05-11,142.96,145.27,142.18,143.96,10263496.0,0.0,1.0,142.96,145.27,142.18,143.96,10263496.0
2020-05-12,144.0,145.65,140.91,141.03,9757599.0,0.0,1.0,144.0,145.65,140.91,141.03,9757599.0
2020-05-13,140.2,145.1,139.61,143.73,11142641.0,0.0,1.0,140.2,145.1,139.61,143.73,11142641.0
2020-05-14,142.07,144.7,141.43,144.41,9272877.0,0.0,1.0,142.07,144.7,141.43,144.41,9272877.0
2020-05-15,142.9,145.89,141.63,145.51,8291199.0,0.0,1.0,142.9,145.89,141.63,145.51,8291199.0
2020-05-18,148.125,149.18,145.99,146.24,8580542.0,0.0,1.0,148.125,149.18,145.99,146.24,8580542.0
2020-05-19,146.7497,149.72,145.22,145.39,7779063.0,0.0,1.0,146.7497,149.72,145.22,145.39,7779063.0
2020-05-20,148.0,151.08,147.9,150.94,7811268.0,0.0,1.0,148.0,151.08,147.9,150.94,7811268.0
2020-05-21,150.58,150.74,148.04,148.22,5612696.0,0.0,1.0,150.58,150.74,148.04,148.22,5612696.0
2020-05-22,148.26,151.0,147.36,150.86,5724145.0,0.0,1.0,148.26,151.0,147.36,150.86,5724145.0
