Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-10-08,28.55,28.64,27.92,28.23,44432078.0,0.0,1.0,28.55,28.64,27.92,28.23,44432078.0
2019-10-09,28.8,28.95,28.35,28.46,36321583.0,0.0,1.0,28.8,28.95,28.35,28.46,36321583.0
2019-10-10,28.51,28.89,28.0,28.38,41171995.0,0.0,1.0,28.51,28.89,28.0,28.38,41171995.0
2019-10-11,28.83,30.2,28.81,29.75,66632445.0,0.0,1.0,28.83,30.2,28.81,29.75,66632445.0
2019-10-14,29.71,30.61,29.38,30.53,44818233.0,0.0,1.0,29.71,30.61,29.38,30.53,44818233.0
2019-10-15,30.7,30.92,30.17,30.72,42142385.0,0.0,1.0,30.7,30.92,30.17,30.72,42142385.0
2019-10-16,30.6,31.41,30.53,30.81,43064255.0,0.0,1.0,30.6,31.41,30.53,30.81,43064255.0
2019-10-17,31.3,31.4,30.86,31.14,37010205.0,0.0,1.0,31.3,31.4,30.86,31.14,37010205.0
2019-10-18,31.06,31.33,30.29,30.97,39221435.0,0.0,1.0,31.06,31.33,30.29,30.97,39221435.0
2019-10-21,31.5,32.26,31.41,32.03,52182779.0,0.0,1.0,31.5,32.26,31.41,32.03,52182779.0
2019-10-22,32.06,32.15,31.5,31.51,36860307.0,0.0,1.0,32.06,32.15,31.5,31.51,36860307.0
2019-10-23,31.09,31.65,30.83,31.36,26858110.0,0.0,1.0,31.09,31.65,30.83,31.36,26858110.0
2019-10-24,31.58,31.86,31.34,31.72,28448977.0,0.0,1.0,31.58,31.86,31.34,31.72,28448977.0
2019-10-25,31.9,32.86,31.83,32.71,45368837.0,0.0,1.0,31.9,32.86,31.83,32.71,45368837.0
2019-10-28,33.16,33.9103,33.15,33.69,51223609.0,0.0,1.0,33.16,33.9103,33.15,33.69,51223609.0
2019-10-29,33.73,33.9,32.7,33.03,78700076.0,0.0,1.0,33.73,33.9,32.7,33.03,78700076.0
2019-10-30,32.93,33.34,32.035,33.13,78228769.0,0.0,1.0,32.93,33.34,32.035,33.13,78228769.0
2019-10-31,32.98,34.34,32.82,33.93,67881623.0,0.0,1.0,32.98,34.34,32.82,33.93,67881623.0
2019-11-01,34.37,35.0,34.1,34.89,64238609.0,0.0,1.0,34.37,35.0,34.1,34.89,64238609.0
2019-11-04,35.19,36.45,34.76,36.29,83343783.0,0.0,1.0,35.19,36.45,34.76,36.29,83343783.0
2019-11-05,36.56,37.18,35.98,36.15,84848638.0,0.0,1.0,36.56,37.18,35.98,36.15,84848638.0
2019-11-06,36.06,36.48,35.52,35.93,51675119.0,0.0,1.0,36.06,36.48,35.52,35.93,51675119.0
2019-11-07,36.52,36.99,36.03,36.28,54350178.0,0.0,1.0,36.52,36.99,36.03,36.28,54350178.0
2019-11-08,36.06,36.58,36.0,36.29,39396230.0,0.0,1.0,36.06,36.58,36.0,36.29,39396230.0
2019-11-11,35.96,36.6648,35.58,36.31,43572264.0,0.0,1.0,35.96,36.6648,35.58,36.31,43572264.0
2019-11-12,36.43,37.13,36.4,36.71,58664523.0,0.0,1.0,36.43,37.13,36.4,36.71,58664523.0
2019-11-13,36.65,37.96,36.5779,37.52,69178093.0,0.0,1.0,36.65,37.96,36.5779,37.52,69178093.0
2019-11-14,37.51,38.5,37.36,38.35,65936947.0,0.0,1.0,37.51,38.5,37.36,38.35,65936947.0
2019-11-15,38.94,39.37,38.34,38.56,63020866.0,0.0,1.0,38.94,39.37,38.34,38.56,63020866.0
2019-11-18,38.65,39.985,38.6,39.88,66332767.0,0.0,1.0,38.65,39.985,38.6,39.88,66332767.0
2019-11-19,40.14,41.79,39.685,41.29,94600235.0,0.0,1.0,40.14,41.79,39.685,41.29,94600235.0
2019-11-20,40.96,41.75,40.07,40.98,79968318.0,0.0,1.0,40.96,41.75,40.07,40.98,79968318.0
2019-11-21,40.42,40.7095,38.64,39.52,88069355.0,0.0,1.0,40.42,40.7095,38.64,39.52,88069355.0
2019-11-22,39.36,39.89,38.19,39.15,56931883.0,0.0,1.0,39.36,39.89,38.19,39.15,56931883.0
2019-11-25,39.5,40.17,39.495,39.79,45879404.0,0.0,1.0,39.5,40.17,39.495,39.79,45879404.0
2019-11-26,39.3,39.48,38.81,38.99,43764146.0,0.0,1.0,39.3,39.48,38.81,38.99,43764146.0
2019-11-27,39.46,39.76,39.07,39.41,33733792.0,0.0,1.0,39.46,39.76,39.07,39.41,33733792.0
2019-11-29,39.1,39.515,39.02,39.15,17609932.0,0.0,1.0,39.1,39.515,39.02,39.15,17609932.0
2019-12-02,39.32,39.41,38.44,38.73,37942678.0,0.0,1.0,39.32,39.41,38.44,38.73,37942678.0
2019-12-03,37.34,38.93,37.15,38.9,52991201.0,0.0,1.0,37.34,38.93,37.15,38.9,52991201.0
2019-12-04,39.38,39.82,39.13,39.69,44372195.0,0.0,1.0,39.38,39.82,39.13,39.69,44372195.0
2019-12-05,39.95,40.22,39.55,39.62,35710943.0,0.0,1.0,39.95,40.22,39.55,39.62,35710943.0
2019-12-06,40.1,40.19,39.56,39.63,31150377.0,0.0,1.0,40.1,40.19,39.56,39.63,31150377.0
2019-12-09,39.46,39.84,38.91,38.93,28035391.0,0.0,1.0,39.46,39.84,38.91,38.93,28035391.0
2019-12-10,39.2,39.73,38.82,39.44,33863025.0,0.0,1.0,39.2,39.73,38.82,39.44,33863025.0
2019-12-11,39.44,39.61,39.04,39.47,31794689.0,0.0,1.0,39.44,39.61,39.04,39.47,31794689.0
2019-12-12,39.4,42.62,39.25,42.59,87398169.0,0.0,1.0,39.4,42.62,39.25,42.59,87398169.0
2019-12-13,42.35,42.95,41.06,41.15,79985411.0,0.0,1.0,42.35,42.95,41.06,41.15,79985411.0
2019-12-16,41.73,42.98,41.73,42.35,58890776.0,0.0,1.0,41.73,42.98,41.73,42.35,58890776.0
2019-12-17,42.51,43.105,42.15,42.77,44935574.0,0.0,1.0,42.51,43.105,42.15,42.77,44935574.0
2019-12-18,42.79,43.06,42.24,42.3,39182983.0,0.0,1.0,42.79,43.06,42.24,42.3,39182983.0
2019-12-19,42.63,43.34,42.6,42.83,45950709.0,0.0,1.0,42.63,43.34,42.6,42.83,45950709.0
2019-12-20,43.44,44.26,43.26,44.15,68216726.0,0.0,1.0,43.44,44.26,43.26,44.15,68216726.0
2019-12-23,44.57,45.625,44.39,45.46,56065288.0,0.0,1.0,44.57,45.625,44.39,45.46,56065288.0
2019-12-24,46.1,46.61,45.77,46.54,44432192.0,0.0,1.0,46.1,46.61,45.77,46.54,44432192.0
2019-12-26,46.99,47.31,45.66,46.63,57712693.0,0.0,1.0,46.99,47.31,45.66,46.63,57712693.0
2019-12-27,46.85,46.88,45.975,46.18,36624234.0,0.0,1.0,46.85,46.88,45.975,46.18,36624234.0
2019-12-30,46.15,46.17,44.66,45.52,41235735.0,0.0,1.0,46.15,46.17,44.66,45.52,41235735.0
2019-12-31,45.07,46.09,44.9223,45.86,31791204.0,0.0,1.0,45.07,46.09,44.9223,45.86,31791204.0
2020-01-02,46.86,49.25,46.63,49.1,80764599.0,0.0,1.0,46.86,49.25,46.63,49.1,80764599.0
2020-01-03,48.03,49.39,47.54,48.6,73362157.0,0.0,1.0,48.03,49.39,47.54,48.6,73362157.0
2020-01-06,48.02,48.86,47.86,48.39,46999425.0,0.0,1.0,48.02,48.86,47.86,48.39,46999425.0
2020-01-07,49.35,49.39,48.04,48.25,59935556.0,0.0,1.0,49.35,49.39,48.04,48.25,59935556.0
2020-01-08,47.85,48.3,47.14,47.83,53868957.0,0.0,1.0,47.85,48.3,47.14,47.83,53868957.0
2020-01-09,48.94,49.96,48.39,48.97,75723328.0,0.0,1.0,48.94,49.96,48.39,48.97,75723328.0
2020-01-10,49.26,49.29,48.0,48.165,44215594.0,0.0,1.0,49.26,49.29,48.0,48.165,44215594.0
2020-01-13,48.66,48.86,48.24,48.745,33743618.0,0.0,1.0,48.66,48.86,48.24,48.745,33743618.0
2020-01-14,48.64,49.035,47.91,48.21,38694180.0,0.0,1.0,48.64,49.035,47.91,48.21,38694180.0
2020-01-15,48.23,49.08,48.12,48.545,40199943.0,0.0,1.0,48.23,49.08,48.12,48.545,40199943.0
2020-01-16,49.17,50.31,48.99,49.77,58898926.0,0.0,1.0,49.17,50.31,48.99,49.77,58898926.0
2020-01-17,50.2,51.05,49.9,50.93,57722501.0,0.0,1.0,50.2,51.05,49.9,50.93,57722501.0
2020-01-21,50.96,51.81,50.7,51.05,48403014.0,0.0,1.0,50.96,51.81,50.7,51.05,48403014.0
2020-01-22,51.63,51.875,51.195,51.43,40772219.0,0.0,1.0,51.63,51.875,51.195,51.43,40772219.0
2020-01-23,51.34,51.745,50.74,51.71,40135442.0,0.0,1.0,51.34,51.745,50.74,51.71,40135442.0
2020-01-24,52.2803,52.81,49.47,50.35,80004909.0,0.0,1.0,52.2803,52.81,49.47,50.35,80004909.0
2020-01-27,48.45,49.79,47.9,49.26,48878578.0,0.0,1.0,48.45,49.79,47.9,49.26,48878578.0
2020-01-28,50.03,50.85,49.48,50.53,62343844.0,0.0,1.0,50.03,50.85,49.48,50.53,62343844.0
2020-01-29,47.84,48.07,46.1,47.51,112559197.0,0.0,1.0,47.84,48.07,46.1,47.51,112559197.0
2020-01-30,46.49,48.81,46.13,48.78,70460163.0,0.0,1.0,46.49,48.81,46.13,48.78,70460163.0
2020-01-31,48.4,48.58,46.79,47.0,60322431.0,0.0,1.0,48.4,48.58,46.79,47.0,60322431.0
2020-02-03,46.4,48.1,46.23,48.02,47076956.0,0.0,1.0,46.4,48.1,46.23,48.02,47076956.0
2020-02-04,49.21,49.75,48.61,49.45,46302078.0,0.0,1.0,49.21,49.75,48.61,49.45,46302078.0
2020-02-05,50.29,50.42,49.31,49.84,42737104.0,0.0,1.0,50.29,50.42,49.31,49.84,42737104.0
2020-02-06,48.8,49.39,47.63,49.32,48670617.0,0.0,1.0,48.8,49.39,47.63,49.32,48670617.0
2020-02-07,48.91,50.665,48.635,49.73,53107582.0,0.0,1.0,48.91,50.665,48.635,49.73,53107582.0
2020-02-10,49.47,52.3,49.35,52.26,60971719.0,0.0,1.0,49.47,52.3,49.35,52.26,60971719.0
2020-02-11,53.22,54.48,52.91,53.8,74719054.0,0.0,1.0,53.22,54.48,52.91,53.8,74719054.0
2020-02-12,54.53,54.85,53.53,53.89,45994933.0,0.0,1.0,54.53,54.85,53.53,53.89,45994933.0
2020-02-13,53.43,55.03,53.34,54.53,51640035.0,0.0,1.0,53.43,55.03,53.34,54.53,51640035.0
2020-02-14,55.19,55.4,54.56,55.31,52365370.0,0.0,1.0,55.19,55.4,54.56,55.31,52365370.0
2020-02-18,54.94,58.13,54.84,56.89,70346387.0,0.0,1.0,54.94,58.13,54.84,56.89,70346387.0
2020-02-19,57.99,59.27,57.51,58.9,58597294.0,0.0,1.0,57.99,59.27,57.51,58.9,58597294.0
2020-02-20,58.44,59.02,56.15,57.27,74203373.0,0.0,1.0,58.44,59.02,56.15,57.27,74203373.0
2020-02-21,56.71,56.8,52.89,53.28,88553374.0,0.0,1.0,56.71,56.8,52.89,53.28,88553374.0
2020-02-24,48.175,50.275,47.49,49.12,86624116.0,0.0,1.0,48.175,50.275,47.49,49.12,86624116.0
2020-02-25,51.14,51.24,47.12,47.57,88699382.0,0.0,1.0,51.14,51.24,47.12,47.57,88699382.0
2020-02-26,47.63,49.29,47.07,47.49,86897680.0,0.0,1.0,47.63,49.29,47.07,47.49,86897680.0
2020-02-27,45.38,46.24,42.21,44.01,106416222.0,0.0,1.0,45.38,46.24,42.21,44.01,106416222.0
2020-02-28,41.355,46.15,41.04,45.48,100667707.0,0.0,1.0,41.355,46.15,41.04,45.48,100667707.0
2020-03-02,47.42,47.68,44.66,47.46,102324726.0,0.0,1.0,47.42,47.68,44.66,47.46,102324726.0
2020-03-03,49.03,50.2,45.67,46.75,141972288.0,0.0,1.0,49.03,50.2,45.67,46.75,141972288.0
2020-03-04,48.25,50.14,47.2101,50.11,93311779.0,0.0,1.0,48.25,50.14,47.2101,50.11,93311779.0
2020-03-05,48.68,49.72,47.51,48.11,98302748.0,0.0,1.0,48.68,49.72,47.51,48.11,98302748.0
2020-03-06,49.44,49.54,46.74,48.59,124590861.0,0.0,1.0,49.44,49.54,46.74,48.59,124590861.0
2020-03-09,43.03,46.34,42.51,43.27,79266641.0,0.0,1.0,43.03,46.34,42.51,43.27,79266641.0
2020-03-10,45.41,45.44,43.1,45.38,76228247.0,0.0,1.0,45.41,45.44,43.1,45.38,76228247.0
2020-03-11,44.19,45.97,43.8,45.7,101043344.0,0.0,1.0,44.19,45.97,43.8,45.7,101043344.0
2020-03-12,42.0,42.5,39.0,39.01,107461521.0,0.0,1.0,42.0,42.5,39.0,39.01,107461521.0
2020-03-13,42.2,43.91,39.6,43.9,86689681.0,0.0,1.0,42.2,43.91,39.6,43.9,86689681.0
2020-03-16,39.08,43.37,38.51,38.71,83248282.0,0.0,1.0,39.08,43.37,38.51,38.71,83248282.0
2020-03-17,40.19,42.88,38.3,41.88,91908770.0,0.0,1.0,40.19,42.88,38.3,41.88,91908770.0
2020-03-18,39.54,41.95,36.75,39.12,106163124.0,0.0,1.0,39.54,41.95,36.75,39.12,106163124.0
2020-03-19,39.56,41.7,37.69,39.82,88939024.0,0.0,1.0,39.56,41.7,37.69,39.82,88939024.0
2020-03-20,41.51,42.4825,39.58,39.61,106859502.0,0.0,1.0,41.51,42.4825,39.58,39.61,106859502.0
2020-03-23,40.62,42.32,38.95,41.64,101704663.0,0.0,1.0,40.62,42.32,38.95,41.64,101704663.0
2020-03-24,44.04,46.81,43.99,46.22,106794151.0,0.0,1.0,44.04,46.81,43.99,46.22,106794151.0
2020-03-25,46.79,47.875,44.425,44.63,92991554.0,0.0,1.0,46.79,47.875,44.425,44.63,92991554.0
2020-03-26,45.78,47.5,45.4,47.5,73915608.0,0.0,1.0,45.78,47.5,45.4,47.5,73915608.0
2020-03-27,46.32,47.975,45.9,46.58,74599218.0,0.0,1.0,46.32,47.975,45.9,46.58,74599218.0
2020-03-30,47.24,48.46,46.66,47.86,68486602.0,0.0,1.0,47.24,48.46,46.66,47.86,68486602.0
2020-03-31,47.942,48.53,45.16,45.48,83087635.0,0.0,1.0,47.942,48.53,45.16,45.48,83087635.0
2020-04-01,44.18,46.85,43.16,43.66,91631732.0,0.0,1.0,44.18,46.85,43.16,43.66,91631732.0
2020-04-02,43.4,45.28,43.1,44.49,78450647.0,0.0,1.0,43.4,45.28,43.1,44.49,78450647.0
2020-04-03,44.3,44.8393,41.7,42.59,79334966.0,0.0,1.0,44.3,44.8393,41.7,42.59,79334966.0
2020-04-06,44.3,47.58,44.06,47.52,81644301.0,0.0,1.0,44.3,47.58,44.06,47.52,81644301.0
2020-04-07,48.96,49.65,46.675,47.56,101804352.0,0.0,1.0,48.96,49.65,46.675,47.56,101804352.0
2020-04-08,48.07,49.0,47.61,48.79,64661410.0,0.0,1.0,48.07,49.0,47.61,48.79,64661410.0
2020-04-09,49.65,50.25,47.72,48.38,80058434.0,0.0,1.0,49.65,50.25,47.72,48.38,80058434.0
2020-04-13,48.47,51.07,48.23,50.94,64290112.0,0.0,1.0,48.47,51.07,48.23,50.94,64290112.0
2020-04-14,52.235,55.14,52.11,54.93,85306750.0,0.0,1.0,52.235,55.14,52.11,54.93,85306750.0
2020-04-15,53.73,55.5699,53.41,54.99,83814033.0,0.0,1.0,53.73,55.5699,53.41,54.99,83814033.0
2020-04-16,55.96,58.08,55.63,56.95,103106456.0,0.0,1.0,55.96,58.08,55.63,56.95,103106456.0
2020-04-17,57.35,57.755,55.55,56.6,76908783.0,0.0,1.0,57.35,57.755,55.55,56.6,76908783.0
2020-04-20,55.98,58.63,55.85,56.97,71975302.0,0.0,1.0,55.98,58.63,55.85,56.97,71975302.0
2020-04-21,56.9,57.73,51.41,52.92,123906390.0,0.0,1.0,56.9,57.73,51.41,52.92,123906390.0
2020-04-22,54.91,56.15,54.34,55.92,62679654.0,0.0,1.0,54.91,56.15,54.34,55.92,62679654.0
2020-04-23,56.65,57.285,55.64,55.9,68223356.0,0.0,1.0,56.65,57.285,55.64,55.9,68223356.0
2020-04-24,55.1,56.78,54.42,56.18,72854752.0,0.0,1.0,55.1,56.78,54.42,56.18,72854752.0
2020-04-27,57.44,58.0,56.25,56.49,62337860.0,0.0,1.0,57.44,58.0,56.25,56.49,62337860.0
2020-04-28,57.16,57.35,55.3,55.51,73389285.0,0.0,1.0,57.16,57.35,55.3,55.51,73389285.0
2020-04-29,54.53,54.86,52.74,53.66,110800859.0,0.0,1.0,54.53,54.86,52.74,53.66,110800859.0
2020-04-30,53.43,54.29,52.03,52.39,65543944.0,0.0,1.0,53.43,54.29,52.03,52.39,65543944.0
2020-05-01,51.07,51.95,49.09,49.88,69562656.0,0.0,1.0,51.07,51.95,49.09,49.88,69562656.0
2020-05-04,49.815,52.61,49.73,52.56,62590577.0,0.0,1.0,49.815,52.61,49.73,52.56,62590577.0
2020-05-05,53.43,53.51,51.29,52.19,56560532.0,0.0,1.0,53.43,53.51,51.29,52.19,56560532.0
2020-05-06,52.42,53.31,51.88,52.16,48138123.0,0.0,1.0,52.42,53.31,51.88,52.16,48138123.0
2020-05-07,52.93,52.9666,51.62,51.95,48956641.0,0.0,1.0,52.93,52.9666,51.62,51.95,48956641.0
2020-05-08,52.15,53.27,51.81,53.19,40774186.0,0.0,1.0,52.15,53.27,51.81,53.19,40774186.0
2020-05-11,52.9,55.89,52.75,55.74,68106492.0,0.0,1.0,52.9,55.89,52.75,55.74,68106492.0
2020-05-12,56.1862,56.58,53.75,53.76,55631098.0,0.0,1.0,56.1862,56.58,53.75,53.76,55631098.0
2020-05-13,54.04,55.22,51.295,52.18,76824714.0,0.0,1.0,54.04,55.22,51.295,52.18,76824714.0
2020-05-14,52.1,54.54,51.61,54.51,73813999.0,0.0,1.0,52.1,54.54,51.61,54.51,73813999.0
2020-05-15,53.32,54.435,52.86,54.2,66344232.0,0.0,1.0,53.32,54.435,52.86,54.2,66344232.0
2020-05-18,54.98,55.25,54.24,54.59,48679061.0,0.0,1.0,54.98,55.25,54.24,54.59,48679061.0
2020-05-19,54.39,56.73,54.36,55.47,60388543.0,0.0,1.0,54.39,56.73,54.36,55.47,60388543.0
2020-05-20,56.55,56.98,55.625,56.39,50888191.0,0.0,1.0,56.55,56.98,55.625,56.39,50888191.0
2020-05-21,56.68,56.72,54.61,54.65,48496114.0,0.0,1.0,56.68,56.72,54.61,54.65,48496114.0
2020-05-22,54.77,55.3748,53.78,55.17,43524110.0,0.0,1.0,54.77,55.3748,53.78,55.17,43524110.0
