Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-09-18,294.99,296.05,287.45,291.56,7841539.0,0.0,1.0,294.99,296.05,287.45,291.56,7841539.0
2019-09-19,291.56,293.81,283.4,286.6,8545761.0,0.0,1.0,291.56,293.81,283.4,286.6,8545761.0
2019-09-20,280.26,282.5,266.0,270.75,23954192.0,0.0,1.0,280.26,282.5,266.0,270.75,23954192.0
2019-09-23,268.345,273.39,261.89,265.92,13610294.0,0.0,1.0,268.345,273.39,261.89,265.92,13610294.0
2019-09-24,262.5,265.0,252.28,254.59,16392808.0,0.0,1.0,262.5,265.0,252.28,254.59,16392808.0
2019-09-25,255.71,266.6,253.7,264.75,11846748.0,0.0,1.0,255.71,266.6,253.7,264.75,11846748.0
2019-09-26,266.42,268.05,260.2,263.31,7696858.0,0.0,1.0,266.42,268.05,260.2,263.31,7696858.0
2019-09-27,266.175,267.44,260.39,263.08,7367491.0,0.0,1.0,266.175,267.44,260.39,263.08,7367491.0
2019-09-30,264.0,268.88,262.78,267.62,6823100.0,0.0,1.0,264.0,268.88,262.78,267.62,6823100.0
2019-10-01,267.35,272.2,264.03,269.58,8786284.0,0.0,1.0,267.35,272.2,264.03,269.58,8786284.0
2019-10-02,263.61,269.35,262.19,268.03,7773299.0,0.0,1.0,263.61,269.35,262.19,268.03,7773299.0
2019-10-03,267.78,268.843,257.01,268.15,9068810.0,0.0,1.0,267.78,268.843,257.01,268.15,9068810.0
2019-10-04,268.2,275.4846,266.47,272.79,9992774.0,0.0,1.0,268.2,275.4846,266.47,272.79,9992774.0
2019-10-07,271.99,276.68,271.28,274.46,6796811.0,0.0,1.0,271.99,276.68,271.28,274.46,6796811.0
2019-10-08,273.03,275.53,270.6427,270.72,6302269.0,0.0,1.0,273.03,275.53,270.6427,270.72,6302269.0
2019-10-09,270.02,271.0,264.57,267.53,6843488.0,0.0,1.0,270.02,271.0,264.57,267.53,6843488.0
2019-10-10,265.97,280.53,265.0337,280.48,10961191.0,0.0,1.0,265.97,280.53,265.0337,280.48,10961191.0
2019-10-11,284.8,287.87,275.8947,282.93,8817301.0,0.0,1.0,284.8,287.87,275.8947,282.93,8817301.0
2019-10-14,283.93,286.93,282.0,285.53,5543120.0,0.0,1.0,283.93,286.93,282.0,285.53,5543120.0
2019-10-15,283.82,285.87,279.4,284.25,7728161.0,0.0,1.0,283.82,285.87,279.4,284.25,7728161.0
2019-10-16,283.12,288.17,280.7431,286.28,18413335.0,0.0,1.0,283.12,288.17,280.7431,286.28,18413335.0
2019-10-17,304.49,308.75,288.3001,293.35,38462343.0,0.0,1.0,304.49,308.75,288.3001,293.35,38462343.0
2019-10-18,289.36,290.9,273.36,275.3,23212468.0,0.0,1.0,289.36,290.9,273.36,275.3,23212468.0
2019-10-21,272.89,279.9399,269.0,278.05,12599173.0,0.0,1.0,272.89,279.9399,269.0,278.05,12599173.0
2019-10-22,271.159,275.41,265.8,266.69,11865593.0,0.0,1.0,271.159,275.41,265.8,266.69,11865593.0
2019-10-23,268.06,273.92,266.63,271.27,7154430.0,0.0,1.0,268.06,273.92,266.63,271.27,7154430.0
2019-10-24,271.81,274.02,268.8,271.5,4911033.0,0.0,1.0,271.81,274.02,268.8,271.5,4911033.0
2019-10-25,270.68,277.77,270.18,276.82,4747829.0,0.0,1.0,270.68,277.77,270.18,276.82,4747829.0
2019-10-28,278.05,285.75,277.35,281.86,6248433.0,0.0,1.0,278.05,285.75,277.35,281.86,6248433.0
2019-10-29,281.87,284.41,277.545,281.21,4356181.0,0.0,1.0,281.87,284.41,277.545,281.21,4356181.0
2019-10-30,284.34,293.49,283.0,291.45,9345562.0,0.0,1.0,284.34,293.49,283.0,291.45,9345562.0
2019-10-31,291.0,291.45,284.78,287.41,5090021.0,0.0,1.0,291.0,291.45,284.78,287.41,5090021.0
2019-11-01,288.7,289.12,283.02,286.81,5594293.0,0.0,1.0,288.7,289.12,283.02,286.81,5594293.0
2019-11-04,288.0,295.39,287.16,292.86,5566213.0,0.0,1.0,288.0,295.39,287.16,292.86,5566213.0
2019-11-05,289.99,291.19,286.31,288.03,4062370.0,0.0,1.0,289.99,291.19,286.31,288.03,4062370.0
2019-11-06,288.19,290.56,285.84,288.59,3438257.0,0.0,1.0,288.19,290.56,285.84,288.59,3438257.0
2019-11-07,290.7,298.19,288.2679,289.57,5928471.0,0.0,1.0,290.7,298.19,288.2679,289.57,5928471.0
2019-11-08,288.73,293.99,287.505,291.57,4509588.0,0.0,1.0,288.73,293.99,287.505,291.57,4509588.0
2019-11-11,289.16,296.36,288.5,294.18,3945885.0,0.0,1.0,289.16,296.36,288.5,294.18,3945885.0
2019-11-12,295.32,295.345,288.7,292.01,5774833.0,0.0,1.0,295.32,295.345,288.7,292.01,5774833.0
2019-11-13,291.03,293.41,281.14,283.11,9233066.0,0.0,1.0,291.03,293.41,281.14,283.11,9233066.0
2019-11-14,283.25,290.63,283.22,289.62,6539771.0,0.0,1.0,283.25,290.63,283.22,289.62,6539771.0
2019-11-15,290.59,295.8186,287.568,295.03,6337779.0,0.0,1.0,290.59,295.8186,287.568,295.03,6337779.0
2019-11-18,296.0,304.99,293.28,302.57,8621566.0,0.0,1.0,296.0,304.99,293.28,302.57,8621566.0
2019-11-19,304.01,305.6699,298.5201,302.6,5919710.0,0.0,1.0,304.01,305.6699,298.5201,302.6,5919710.0
2019-11-20,301.01,308.25,301.0,305.16,5115546.0,0.0,1.0,301.01,308.25,301.0,305.16,5115546.0
2019-11-21,306.0,312.69,304.2622,311.69,7488373.0,0.0,1.0,306.0,312.69,304.2622,311.69,7488373.0
2019-11-22,309.1,311.4,304.41,310.48,5970056.0,0.0,1.0,309.1,311.4,304.41,310.48,5970056.0
2019-11-25,308.83,315.73,305.25,315.55,7878943.0,0.0,1.0,308.83,315.73,305.25,315.55,7878943.0
2019-11-26,315.0,316.5,311.69,312.49,5328348.0,0.0,1.0,315.0,316.5,311.69,312.49,5328348.0
2019-11-27,313.93,316.82,312.75,315.93,4100975.0,0.0,1.0,313.93,316.82,312.75,315.93,4100975.0
2019-11-29,315.78,316.62,313.34,314.66,2411749.0,0.0,1.0,315.78,316.62,313.34,314.66,2411749.0
2019-12-02,314.39,314.39,303.75,309.99,6223135.0,0.0,1.0,314.39,314.39,303.75,309.99,6223135.0
2019-12-03,302.22,307.36,301.88,306.16,5272447.0,0.0,1.0,302.22,307.36,301.88,306.16,5272447.0
2019-12-04,308.43,308.43,303.2727,304.32,3513551.0,0.0,1.0,308.43,308.43,303.2727,304.32,3513551.0
2019-12-05,305.27,306.48,298.81,302.86,4618867.0,0.0,1.0,305.27,306.48,298.81,302.86,4618867.0
2019-12-06,304.7,307.8495,302.6,307.35,4459684.0,0.0,1.0,304.7,307.8495,302.6,307.35,4459684.0
2019-12-09,307.35,311.49,302.44,302.5,5766006.0,0.0,1.0,307.35,311.49,302.44,302.5,5766006.0
2019-12-10,296.12,298.94,292.02,293.12,10481239.0,0.0,1.0,296.12,298.94,292.02,293.12,10481239.0
2019-12-11,294.49,299.43,294.2,298.93,5607155.0,0.0,1.0,294.49,299.43,294.2,298.93,5607155.0
2019-12-12,295.67,299.165,295.06,298.44,4771404.0,0.0,1.0,295.67,299.165,295.06,298.44,4771404.0
2019-12-13,298.5,301.8,297.25,298.5,3883069.0,0.0,1.0,298.5,301.8,297.25,298.5,3883069.0
2019-12-16,300.85,305.71,298.63,304.21,4660166.0,0.0,1.0,300.85,305.71,298.63,304.21,4660166.0
2019-12-17,307.36,316.8,306.6,315.48,10437127.0,0.0,1.0,307.36,316.8,306.6,315.48,10437127.0
2019-12-18,316.26,325.36,315.6,320.8,11210737.0,0.0,1.0,316.26,325.36,315.6,320.8,11210737.0
2019-12-19,324.5,332.83,324.18,332.22,9833355.0,0.0,1.0,324.5,332.83,324.18,332.22,9833355.0
2019-12-20,335.0,338.0,330.6,336.9,9923260.0,0.0,1.0,335.0,338.0,330.6,336.9,9923260.0
2019-12-23,337.76,337.95,331.0201,333.1,5767937.0,0.0,1.0,337.76,337.95,331.0201,333.1,5767937.0
2019-12-24,334.01,335.7,331.6,333.2,2019322.0,0.0,1.0,334.01,335.7,331.6,333.2,2019322.0
2019-12-26,334.6,336.4623,332.01,332.63,3595854.0,0.0,1.0,334.6,336.4623,332.01,332.63,3595854.0
2019-12-27,332.96,333.82,326.01,329.09,5037156.0,0.0,1.0,332.96,333.82,326.01,329.09,5037156.0
2019-12-30,329.08,329.185,322.86,323.31,4315267.0,0.0,1.0,329.08,329.185,322.86,323.31,4315267.0
2019-12-31,322.0,324.916,321.09,323.57,3714837.0,0.0,1.0,322.0,324.916,321.09,323.57,3714837.0
2020-01-02,326.1,329.98,324.78,329.81,4348493.0,0.0,1.0,326.1,329.98,324.78,329.81,4348493.0
2020-01-03,326.78,329.8599,325.53,325.9,3795466.0,0.0,1.0,326.78,329.8599,325.53,325.9,3795466.0
2020-01-06,323.12,336.36,321.2,335.83,5602478.0,0.0,1.0,323.12,336.36,321.2,335.83,5602478.0
2020-01-07,336.47,336.7,330.3,330.75,4742458.0,0.0,1.0,336.47,336.7,330.3,330.75,4742458.0
2020-01-08,331.49,342.7,331.05,339.26,7109117.0,0.0,1.0,331.49,342.7,331.05,339.26,7109117.0
2020-01-09,342.0,343.4196,334.6101,335.66,4562863.0,0.0,1.0,342.0,343.4196,334.6101,335.66,4562863.0
2020-01-10,337.13,338.5,327.27,329.05,4720540.0,0.0,1.0,337.13,338.5,327.27,329.05,4720540.0
2020-01-13,331.8,340.85,331.51,338.92,6216564.0,0.0,1.0,331.8,340.85,331.51,338.92,6216564.0
2020-01-14,344.4,345.38,335.52,338.69,7201544.0,0.0,1.0,344.4,345.38,335.52,338.69,7201544.0
2020-01-15,338.68,343.17,336.6,339.07,5158035.0,0.0,1.0,338.68,343.17,336.6,339.07,5158035.0
2020-01-16,343.5,343.555,335.85,338.62,5015997.0,0.0,1.0,343.5,343.555,335.85,338.62,5015997.0
2020-01-17,341.0,341.57,337.38,339.67,6066547.0,0.0,1.0,341.0,341.57,337.38,339.67,6066547.0
2020-01-21,340.0,341.0,332.59,338.11,12705288.0,0.0,1.0,340.0,341.0,332.59,338.11,12705288.0
2020-01-22,332.55,336.3,323.6,326.0,21729959.0,0.0,1.0,332.55,336.3,323.6,326.0,21729959.0
2020-01-23,326.04,349.88,325.01,349.6,18200293.0,0.0,1.0,326.04,349.88,325.01,349.6,18200293.0
2020-01-24,348.46,359.85,345.88,353.16,17939681.0,0.0,1.0,348.46,359.85,345.88,353.16,17939681.0
2020-01-27,345.95,351.9,341.02,342.88,7709482.0,0.0,1.0,345.95,351.9,341.02,342.88,7709482.0
2020-01-28,345.88,352.4,342.78,348.52,6821581.0,0.0,1.0,345.88,352.4,342.78,348.52,6821581.0
2020-01-29,349.0,349.4,338.55,343.16,7649183.0,0.0,1.0,349.0,349.4,338.55,343.16,7649183.0
2020-01-30,341.1,348.2,339.25,347.74,5328136.0,0.0,1.0,341.1,348.2,339.25,347.74,5328136.0
2020-01-31,347.39,347.39,340.98,345.09,5230001.0,0.0,1.0,347.39,347.39,340.98,345.09,5230001.0
2020-02-03,347.24,359.63,346.28,358.0,6674885.0,0.0,1.0,347.24,359.63,346.28,358.0,6674885.0
2020-02-04,361.0,369.57,356.0964,369.01,7161451.0,0.0,1.0,361.0,369.57,356.0964,369.01,7161451.0
2020-02-05,375.125,375.25,362.3,369.67,6437026.0,0.0,1.0,375.125,375.25,362.3,369.67,6437026.0
2020-02-06,369.6,371.5499,362.505,366.95,3920428.0,0.0,1.0,369.6,371.5499,362.505,366.95,3920428.0
2020-02-07,365.04,371.8,363.57,366.77,4385227.0,0.0,1.0,365.04,371.8,363.57,366.77,4385227.0
2020-02-10,365.0,374.8,362.52,371.07,5294138.0,0.0,1.0,365.0,374.8,362.52,371.07,5294138.0
2020-02-11,373.75,378.11,369.72,373.69,4772870.0,0.0,1.0,373.75,378.11,369.72,373.69,4772870.0
2020-02-12,377.18,380.62,375.88,380.01,4624772.0,0.0,1.0,377.18,380.62,375.88,380.01,4624772.0
2020-02-13,376.96,385.37,376.51,381.4,4485383.0,0.0,1.0,376.96,385.37,376.51,381.4,4485383.0
2020-02-14,381.47,385.15,379.4342,380.4,3736266.0,0.0,1.0,381.47,385.15,379.4342,380.4,3736266.0
2020-02-18,379.3,389.54,379.19,387.78,5180400.0,0.0,1.0,379.3,389.54,379.19,387.78,5180400.0
2020-02-19,388.12,392.95,384.9,386.19,4896368.0,0.0,1.0,388.12,392.95,384.9,386.19,4896368.0
2020-02-20,386.56,389.7,376.68,386.0,4079425.0,0.0,1.0,386.56,389.7,376.68,386.0,4079425.0
2020-02-21,385.33,387.32,377.9008,380.07,3935618.0,0.0,1.0,385.33,387.32,377.9008,380.07,3935618.0
2020-02-24,364.76,372.82,361.0,368.7,6936418.0,0.0,1.0,364.76,372.82,361.0,368.7,6936418.0
2020-02-25,372.0,375.65,357.72,360.09,6481243.0,0.0,1.0,372.0,375.65,357.72,360.09,6481243.0
2020-02-26,366.31,382.0,365.0,379.24,8961126.0,0.0,1.0,366.31,382.0,365.0,379.24,8961126.0
2020-02-27,371.46,391.5624,370.5962,371.71,10967699.0,0.0,1.0,371.46,391.5624,370.5962,371.71,10967699.0
2020-02-28,364.21,376.77,356.8,369.03,11178572.0,0.0,1.0,364.21,376.77,356.8,369.03,11178572.0
2020-03-02,373.11,381.36,364.502,381.05,6997891.0,0.0,1.0,373.11,381.36,364.502,381.05,6997891.0
2020-03-03,381.03,393.52,367.4,368.77,8364623.0,0.0,1.0,381.03,393.52,367.4,368.77,8364623.0
2020-03-04,377.77,384.01,370.51,383.79,5487340.0,0.0,1.0,377.77,384.01,370.51,383.79,5487340.0
2020-03-05,381.0,391.4,368.6401,372.78,8746985.0,0.0,1.0,381.0,391.4,368.6401,372.78,8746985.0
2020-03-06,367.7,371.31,356.85,368.97,8147165.0,0.0,1.0,367.7,371.31,356.85,368.97,8147165.0
2020-03-09,343.86,357.47,341.7209,346.49,7350457.0,0.0,1.0,343.86,357.47,341.7209,346.49,7350457.0
2020-03-10,356.425,364.54,347.85,364.13,7604444.0,0.0,1.0,356.425,364.54,347.85,364.13,7604444.0
2020-03-11,358.92,362.98,344.79,349.92,6014614.0,0.0,1.0,358.92,362.98,344.79,349.92,6014614.0
2020-03-12,326.5,335.72,307.32,315.25,12071591.0,0.0,1.0,326.5,335.72,307.32,315.25,12071591.0
2020-03-13,330.51,336.42,307.39,336.295,9458197.0,0.0,1.0,330.51,336.42,307.39,336.295,9458197.0
2020-03-16,306.63,334.35,294.75,298.84,10470788.0,0.0,1.0,306.63,334.35,294.75,298.84,10470788.0
2020-03-17,306.18,322.9,290.25,319.75,9916240.0,0.0,1.0,306.18,322.9,290.25,319.75,9916240.0
2020-03-18,302.395,331.5794,300.0,315.47,12560908.0,0.0,1.0,302.395,331.5794,300.0,315.47,12560908.0
2020-03-19,324.33,348.51,316.82,332.03,10615957.0,0.0,1.0,324.33,348.51,316.82,332.03,10615957.0
2020-03-20,342.31,350.49,332.0,332.83,10853846.0,0.0,1.0,342.31,350.49,332.0,332.83,10853846.0
2020-03-23,347.89,366.11,340.8838,360.27,13449378.0,0.0,1.0,347.89,366.11,340.8838,360.27,13449378.0
2020-03-24,369.99,372.93,353.0301,357.32,11638683.0,0.0,1.0,369.99,372.93,353.0301,357.32,11638683.0
2020-03-25,361.02,362.0,339.17,342.39,8739029.0,0.0,1.0,361.02,362.0,339.17,342.39,8739029.0
2020-03-26,344.0,363.84,341.73,362.99,7235016.0,0.0,1.0,344.0,363.84,341.73,362.99,7235016.0
2020-03-27,359.09,368.56,353.0,357.12,7948775.0,0.0,1.0,359.09,368.56,353.0,357.12,7948775.0
2020-03-30,363.0,377.8,361.17,370.96,8621964.0,0.0,1.0,363.0,377.8,361.17,370.96,8621964.0
2020-03-31,367.93,383.01,366.44,375.5,9312833.0,0.0,1.0,367.93,383.01,366.44,375.5,9312833.0
2020-04-01,376.05,380.233,361.02,364.08,6630308.0,0.0,1.0,376.05,380.233,361.02,364.08,6630308.0
2020-04-02,364.08,370.99,360.06,370.08,4554055.0,0.0,1.0,364.08,370.99,360.06,370.08,4554055.0
2020-04-03,367.3604,370.9,357.51,361.76,4860768.0,0.0,1.0,367.3604,370.9,357.51,361.76,4860768.0
2020-04-06,365.22,380.29,361.71,379.96,8121240.0,0.0,1.0,365.22,380.29,361.71,379.96,8121240.0
2020-04-07,380.0,381.33,369.34,372.28,7019024.0,0.0,1.0,380.0,381.33,369.34,372.28,7019024.0
2020-04-08,374.01,378.39,368.31,371.12,6762830.0,0.0,1.0,374.01,378.39,368.31,371.12,6762830.0
2020-04-09,371.06,372.1,363.03,370.72,7415166.0,0.0,1.0,371.06,372.1,363.03,370.72,7415166.0
2020-04-13,371.31,400.51,367.7003,396.72,11692922.0,0.0,1.0,371.31,400.51,367.7003,396.72,11692922.0
2020-04-14,397.5,417.82,394.8468,413.55,11580983.0,0.0,1.0,397.5,417.82,394.8468,413.55,11580983.0
2020-04-15,413.0,434.98,412.25,426.75,13561222.0,0.0,1.0,413.0,434.98,412.25,426.75,13561222.0
2020-04-16,437.0,449.52,431.61,439.17,16128666.0,0.0,1.0,437.0,449.52,431.61,439.17,16128666.0
2020-04-17,431.0,432.0,414.695,422.96,12616258.0,0.0,1.0,431.0,432.0,414.695,422.96,12616258.0
2020-04-20,435.17,444.49,430.56,437.49,12362129.0,0.0,1.0,435.17,444.49,430.56,437.49,12362129.0
2020-04-21,444.77,447.0,425.6,433.83,23177550.0,0.0,1.0,444.77,447.0,425.6,433.83,23177550.0
2020-04-22,429.725,433.0,413.0,421.42,20976718.0,0.0,1.0,429.725,433.0,413.0,421.42,20976718.0
2020-04-23,419.26,438.413,419.26,426.7,13864762.0,0.0,1.0,419.26,438.413,419.26,426.7,13864762.0
2020-04-24,425.0,427.17,415.88,424.99,8670362.0,0.0,1.0,425.0,427.17,415.88,424.99,8670362.0
2020-04-27,425.0,429.0,420.84,421.38,6257569.0,0.0,1.0,425.0,429.0,420.84,421.38,6257569.0
2020-04-28,419.99,421.0,402.9101,403.83,9983797.0,0.0,1.0,419.99,421.0,402.9101,403.83,9983797.0
2020-04-29,399.53,415.86,393.6,411.89,9693137.0,0.0,1.0,399.53,415.86,393.6,411.89,9693137.0
2020-04-30,410.31,424.44,408.0,419.85,7953975.0,0.0,1.0,410.31,424.44,408.0,419.85,7953975.0
2020-05-01,415.1,427.97,411.73,415.27,8299858.0,0.0,1.0,415.1,427.97,411.73,415.27,8299858.0
2020-05-04,417.78,428.54,414.87,428.15,7799058.0,0.0,1.0,417.78,428.54,414.87,428.15,7799058.0
2020-05-05,427.555,431.0,421.56,424.68,6286293.0,0.0,1.0,427.555,431.0,421.56,424.68,6286293.0
2020-05-06,429.3,439.77,426.385,434.26,6660737.0,0.0,1.0,429.3,439.77,426.385,434.26,6660737.0
2020-05-07,436.89,438.88,430.66,436.53,5650281.0,0.0,1.0,436.89,438.88,430.66,436.53,5650281.0
2020-05-08,434.14,442.0,433.6389,435.55,5054308.0,0.0,1.0,434.14,442.0,433.6389,435.55,5054308.0
2020-05-11,436.33,444.8899,435.56,440.52,5470469.0,0.0,1.0,436.33,444.8899,435.56,440.52,5470469.0
2020-05-12,442.0,444.17,431.36,431.82,4598211.0,0.0,1.0,442.0,444.17,431.36,431.82,4598211.0
2020-05-13,435.69,447.0,427.27,438.27,7014563.0,0.0,1.0,435.69,447.0,427.27,438.27,7014563.0
2020-05-14,444.9,452.38,432.82,441.95,9007467.0,0.0,1.0,444.9,452.38,432.82,441.95,9007467.0
2020-05-15,440.7,455.0,437.51,454.19,7182096.0,0.0,1.0,440.7,455.0,437.51,454.19,7182096.0
2020-05-18,451.16,456.36,443.35,452.58,7780309.0,0.0,1.0,451.16,456.36,443.35,452.58,7780309.0
2020-05-19,453.3965,458.97,450.465,451.04,4810487.0,0.0,1.0,453.3965,458.97,450.465,451.04,4810487.0
2020-05-20,454.25,455.81,444.0,447.67,5607257.0,0.0,1.0,454.25,455.81,444.0,447.67,5607257.0
2020-05-21,448.56,448.96,430.25,436.25,9117325.0,0.0,1.0,448.56,448.96,430.25,436.25,9117325.0
2020-05-22,437.0,439.09,427.18,429.32,5422334.0,0.0,1.0,437.0,439.09,427.18,429.32,5422334.0
